ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,relationship_probability
1,20.74507122951685,165.76240317977297,56.858063234153335,1,CSE,7.217522419520388,Low passion,UP,No drop,CBSE,2,1,Ambivert,8.822567630745706,5.966730963209992,7.9177266690070525,6.2505974665199755,6.682930684864948,6.152996676958253,4.173116698538778,7.168481873616215,4.620795805577477,1,10.550835032658025,1.953189379837907,1193.921301201964,47.84749714314712,4,6.303039311392977,8,8.128441492851596,6.432328059640833,21.160995205381944,39.51506182764557
2,19.792603548243225,165.46585891616147,61.33400644335617,0,ECE,6.231328479352693,Moderate,Rajasthan,No drop,CBSE,2,2,Ambivert,4.035253288036051,5.469484193250297,4.6322055837709275,4.712212379555099,2.9266635813176007,2.520753873051121,5.4022653657917665,5.308905278488315,1.4837371421389367,2,9.764521654781008,10.554861002878162,148.02723454996482,134.78539205299592,3,20.644392849317082,7,8.095340847922163,4.157341280273503,15.717813058663046,17.006475013474656
3,20.97153280715104,152.04356827369986,57.83142726745829,5,CSE,8.564548833254742,Moderate,HP,No drop,CBSE,2,2,Introvert,4.151559326859539,2.577848774214397,2.3220852774184895,6.020589282805943,7.125252527576324,4.433455019964777,4.621604245723399,6.319272385264769,3.5790613214204816,1,8.694210944557177,8.07826264400552,638.9101102710445,27.091241397651533,3,9.663469049858724,8,4.763443784321254,3.0,14.936667418609241,33.43285159990156
4,22.284544784612038,166.6990980829856,66.32501656335343,2,BIOTECH,9.094491259529025,Moderate,Haryana,No drop,ICSE,1,1,Ambivert,8.22543316593601,6.120161893941075,2.2864426483412323,7.972569174457202,7.769955360521646,4.633283106157705,5.36362754383646,5.583412051632649,3.719735703191671,3,10.670209160782822,6.630663444854577,6396.098878298075,75.16818040415993,4,8.61927264880648,11,1.8305008151325886,5.967123044362635,16.02236221550456,43.22534582062856
5,19.648769937914995,177.32829081821745,79.36614237754296,4,CSE,7.843306539188851,Moderate,Delhi,Single drop,State board,1,2,Introvert,4.321537512769878,9.86073991430824,6.8051694555164595,2.4345297085759157,4.814160331814279,6.478286954079485,5.035751816913646,7.781945099255049,3.315533633887261,1,9.216957288133989,5.218198798795397,877.9594706647916,90.89704146887968,2,6.931471832763562,11,3.08838566340502,5.288001724625555,5.7500127696740835,24.569516317776667
6,19.648794564576228,157.25767880923206,55.747494114305546,0,BIOTECH,4.531371812860732,Highly passionate,Punjab,Double drop,CBSE,1,1,Extrovert,1.727840134997679,8.962377078295278,4.786633911539983,2.2940257102231647,4.079614924090686,5.646014063091911,6.821448859142799,6.474951107434813,1.3176251120350828,0,12.512884905591953,4.052200980243519,917.1092026404584,149.8322745744833,10,7.1774030960663975,4,5.94430890724507,5.865376162205504,2.1073701646477967,8.359362169895089
7,22.368819223261088,180.4848265105059,77.00984597322096,0,ECE,3.3548457067737063,Low passion,HP,Double drop,CBSE,1,4,Ambivert,2.3539663938150803,8.549253945780826,1.6814960988471257,6.323102678191566,7.221223851152271,4.512075918457266,5.972175525817017,4.25215500142075,3.1713800013197253,1,9.205593451567196,17.882476381202522,1126.5275524456583,66.50618138396456,1,12.349652791243896,4,2.9111706629383587,8.243508695045087,9.441818451048839,24.36794682250338
8,21.151152093729362,174.87774821084338,55.61993513183735,0,ECE,4.640150582571016,Low passion,HP,Single drop,ICSE,1,0,Ambivert,0.2883393695000656,6.546749801921332,6.025172356825935,6.097117362451414,6.069640975827766,4.109355769138826,1.5387026190552695,4.823507405975006,1.880045974213331,1,8.743904498647428,9.75362969018188,100.0,60.4902887913055,7,3.1489986083209454,9,4.54420038318842,6.065283846222658,19.055078944216696,22.380008041117648
9,19.295788421097573,162.65766678028962,54.82847345003739,1,CSE,10.884141869941807,Moderate,Haryana,Double drop,State board,1,0,Introvert,0.5242498243956397,9.12640301227853,4.179521487640487,3.955680049873366,7.892933210782642,7.891233169905156,5.975950961450595,6.514732005247373,1.087174470737441,3,9.684320073328818,10.774951048745105,944.574328968721,97.73465762150879,3,11.723621102321797,7,5.683740173035434,8.338799233807055,1.1754334049732493,23.540567150523913
10,20.813840065378947,168.58470362662152,74.82313542011856,4,ME,6.704239784568384,Moderate,Punjab,Single drop,State board,2,2,Extrovert,7.284584383941143,2.6940172936559224,5.044881725515305,4.698937238764153,5.056570203459842,9.24527544168961,3.859650071123907,5.784339526066913,2.6241543313703044,3,8.191593426698123,8.204880261100303,248.93784533146373,108.2548102149762,3,11.877283343999139,10,5.947957750289072,4.366576046107472,4.595220263974761,29.760074669995454
